"Table 5: Local Authority: Gross domestic product (GDP) at current market prices, pounds million",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITL1 Region,LA code,LA name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
East Midlands ,E07000133,Melton,694,707,732,746,783,808,827,829,896,947,990,992,"1,041","1,038","1,070","1,101","1,101","1,222","1,275","1,289","1,367","1,429","1,328","1,496","1,573","1,646"
East Midlands ,E07000134,North West Leicestershire,"1,836","1,873","1,964","2,001","2,094","2,278","2,344","2,456","2,624","2,789","2,843","2,683","2,874","2,873","2,961","3,222","3,356","3,408","3,621","3,706","4,015","4,160","3,734","4,397","4,888","5,381"
East Midlands ,E07000135,Oadby and Wigston,536,555,577,595,608,648,676,690,730,755,789,757,794,801,839,853,856,860,895,894,918,944,880,"1,002","1,052","1,172"
East Midlands ,E06000062,West Northamptonshire,"5,969","6,107","6,531","6,750","6,976","7,300","7,680","8,087","8,769","9,296","9,594","9,244","9,716","9,900","10,023","10,706","11,219","11,656","12,169","12,901","13,726","14,271","13,505","15,098","16,308","17,434"
East Midlands ,E06000061,North Northamptonshire,"4,076","4,206","4,400","4,486","4,538","4,818","5,036","5,208","5,466","5,743","5,959","5,685","6,026","6,003","6,312","6,563","6,906","7,134","7,363","7,554","7,879","8,209","7,791","8,631","9,335","9,936"
East Midlands ,E07000136,Boston,743,751,798,867,911,963,946,995,"1,038","1,096","1,144","1,105","1,139","1,198","1,256","1,322","1,421","1,436","1,484","1,572","1,642","1,696","1,569","1,682","1,773","1,885"
East Midlands ,E07000137,East Lindsey,"1,374","1,407","1,485","1,581","1,690","1,756","1,756","1,827","1,956","1,995","2,110","2,018","2,099","2,206","2,255","2,380","2,449","2,491","2,543","2,688","2,751","2,954","2,758","3,021","3,205","3,402"
East Midlands ,E07000138,Lincoln,"1,358","1,394","1,426","1,527","1,626","1,762","1,781","1,874","2,045","2,171","2,316","2,274","2,326","2,365","2,402","2,527","2,602","2,760","2,793","2,897","3,047","3,185","2,994","3,133","3,294","3,597"
East Midlands ,E07000139,North Kesteven,"1,361","1,407","1,467","1,579","1,679","1,760","1,738","1,809","1,952","2,038","2,130","2,039","2,097","2,141","2,253","2,370","2,477","2,498","2,502","2,734","2,912","3,101","3,011","3,318","3,587","3,779"
East Midlands ,E07000140,South Holland,"1,141","1,168","1,232","1,329","1,361","1,419","1,366","1,421","1,501","1,584","1,632","1,592","1,635","1,685","1,781","1,906","1,965","1,986","2,099","2,284","2,404","2,469","2,437","2,709","2,735","2,956"
East Midlands ,E07000141,South Kesteven,"1,609","1,643","1,711","1,858","1,954","2,088","2,098","2,185","2,309","2,454","2,578","2,462","2,582","2,607","2,772","2,870","2,956","2,946","2,959","3,196","3,269","3,407","3,219","3,436","3,716","3,973"
East Midlands ,E07000142,West Lindsey,844,853,942,977,"1,036","1,084","1,082","1,120","1,186","1,230","1,314","1,237","1,284","1,321","1,372","1,486","1,564","1,587","1,587","1,657","1,781","1,955","1,883","2,133","2,297","2,432"
West Midlands ,E06000019,"Herefordshire, County of","2,400","2,531","2,660","2,696","2,829","2,914","2,904","2,992","3,104","3,192","3,361","3,222","3,287","3,485","3,604","3,765","3,966","4,065","4,130","4,317","4,512","4,653","4,397","4,754","5,251","5,645"
West Midlands ,E07000234,Bromsgrove,"1,494","1,549","1,645","1,663","1,661","1,779","1,943","2,070","2,275","2,062","2,209","2,342","2,402","2,544","2,712","2,810","2,853","2,707","2,829","3,182","3,240","3,252","3,146","3,300","3,916","4,230"
West Midlands ,E07000235,Malvern Hills,953,"1,018","1,058","1,114","1,210","1,242","1,292","1,306","1,364","1,410","1,463","1,417","1,511","1,601","1,584","1,585","1,657","1,659","1,708","1,779","1,910","2,033","1,878","1,951","2,196","2,418"
West Midlands ,E07000236,Redditch,"1,123","1,166","1,210","1,222","1,236","1,299","1,383","1,411","1,495","1,523","1,584","1,524","1,601","1,698","1,794","1,952","2,160","2,283","2,342","2,514","2,484","2,434","2,261","2,304","2,543","2,785"
West Midlands ,E07000237,Worcester,"1,642","1,719","1,805","1,832","1,885","2,032","2,156","2,211","2,357","2,419","2,490","2,446","2,534","2,662","2,907","3,096","3,185","3,294","3,108","3,277","3,363","3,416","3,349","3,497","3,943","4,209"
West Midlands ,E07000238,Wychavon,"1,566","1,662","1,747","1,797","1,805","1,919","2,008","2,051","2,177","2,239","2,343","2,216","2,282","2,454","2,587","2,634","2,826","2,952","3,029","3,200","3,377","3,544","3,493","3,713","3,950","4,262"
West Midlands ,E07000239,Wyre Forest,980,"1,026","1,060","1,075","1,101","1,168","1,218","1,255","1,317","1,354","1,390","1,320","1,355","1,431","1,484","1,512","1,578","1,572","1,628","1,699","1,752","1,807","1,718","1,843","2,045","2,146"
West Midlands ,E07000218,North Warwickshire,"1,471","1,588","1,642","1,644","1,673","1,759","1,820","1,897","2,006","2,016","2,056","1,954","2,076","2,179","2,367","2,502","2,593","2,731","2,690","3,006","3,313","3,300","3,056","3,282","3,749","4,106"
West Midlands ,E07000219,Nuneaton and Bedworth,"1,102","1,166","1,210","1,236","1,256","1,315","1,387","1,435","1,509","1,546","1,606","1,521","1,580","1,678","1,820","1,983","2,140","2,200","2,197","2,388","2,505","2,583","2,457","2,619","2,992","3,212"
West Midlands ,E07000220,Rugby,"1,554","1,689","1,758","1,809","1,867","1,965","2,129","2,191","2,314","2,390","2,484","2,321","2,440","2,563","2,663","2,743","2,873","3,054","3,202","3,409","3,380","3,300","3,151","3,422","4,008","4,510"
West Midlands ,E07000221,Stratford-on-Avon,"2,077","2,257","2,421","2,449","2,523","2,564","2,616","2,926","3,109","3,198","3,348","3,103","3,329","3,550","3,785","4,165","4,323","4,509","4,758","5,437","5,576","5,558","4,920","5,378","5,996","6,897"
